number,입주형태,입주기간,코로나영향,환경개선여부,유치시설1,유치시설2,유치시설3,정화시설,위치규모,비용,환경,인력,행정,시설,교류,인지여부,입주후매출,입주후고용,입주후절감
39 ,1 ,2 ,3 ,4 ,2 ,1 ,5 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 
40 ,1 ,2 ,1 ,4 ,2 ,3 ,5 ,2 ,5 ,3 ,5 ,2 ,2 ,5 ,2 ,1 ,3 ,2 ,2 
41 ,2 ,1 ,3 ,3 ,1 ,2 ,5 ,3 ,2 ,2 ,3 ,2 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
42 ,2 ,1 ,2 ,3 ,5 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 
43 ,1 ,1 ,2 ,4 ,1 ,3 ,5 ,2 ,2 ,2 ,3 ,2 ,3 ,2 ,3 ,1 ,2 ,3 ,3 
44 ,1 ,3 ,1 ,4 ,1 ,4 ,5 ,2 ,2 ,3 ,2 ,3 ,3 ,2 ,3 ,1 ,3 ,3 ,2 
45 ,2 ,1 ,3 ,3 ,5 ,3 ,2 ,5 ,3 ,3 ,2 ,3 ,1 ,3 ,1 ,2 ,3 ,3 ,3 
46 ,1 ,2 ,1 ,5 ,1 ,1 ,1 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 
47 ,1 ,2 ,3 ,5 ,1 ,5 ,4 ,2 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,5 ,2 ,2 
48 ,1 ,3 ,1 ,4 ,1 ,2 ,5 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,3 ,3 ,3 
49 ,1 ,2 ,1 ,3 ,1 ,5 ,2 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,2 
50 ,1 ,3 ,2 ,3 ,1 ,1 ,1 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 
51 ,1 ,1 ,2 ,3 ,5 ,2 ,1 ,2 ,2 ,3 ,2 ,2 ,3 ,2 ,3 ,2 ,3 ,3 ,3 
52 ,1 ,2 ,3 ,2 ,5 ,4 ,3 ,1 ,2 ,3 ,3 ,3 ,2 ,3 ,2 ,2 ,3 ,2 ,2 
53 ,2 ,2 ,3 ,2 ,5 ,1 ,2 ,1 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3 
54 ,1 ,1 ,2 ,4 ,5 ,2 ,4 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 
