,0,1,2,3,4,5,6,7
교류,0.29423947795809835,0.24253145752353122,-0.02561833766324453,0.09253478118112733,0.36079808321124485,-0.1931215193559042,0.02569982496060097,-0.004089712106177741
비용,0.5640495846043527,0.21172504256745367,0.15263122968196471,0.016624311256857132,0.11096876497942482,0.08557511235144989,0.1784015297858528,0.09939892367929194
시설,0.4882394940957642,0.3988282539194794,0.06931020373593692,0.10648863425510942,0.2658995777119735,0.1185389247155668,-0.012511639019766235,0.030206923395894165
위치규모,0.7262374847925778,0.0011230459902988154,0.09252422019825508,0.18146155444661746,0.03213546586332965,-0.16019634727593435,-0.03803185232307753,-0.09077451437464232
인력,0.3500391933110824,0.3094129778263114,0.11754419427458541,0.8440754416109999,0.2164619355327855,-0.03423610121340863,-0.04916221969536296,0.0033760663070728208
인지여부,-0.006521311596367336,-0.039501955865957235,-0.04763729353792997,-0.01277627880272825,-0.10768003027340241,0.542510777397,0.0666581585018514,0.0333725135528137
입주기간,-0.0035427242721988166,0.07365886274862145,0.004036388439561464,0.03379960672087111,-0.029744710334197462,-0.00018045367447908005,0.04846640563407289,-0.23080134255694063
입주형태,0.007881656975677874,-0.015684865808434055,0.024848250550430363,-0.017094503781935465,-0.024738569001292333,0.057639928456685266,0.5246256873373405,-0.004793201722824507
정화시설,0.23969113318873098,0.11288486976250471,0.9408381988135309,0.09021156104570069,0.14222036056502166,-0.08865044845926573,0.05093249101009081,-0.02847616696664102
코로나영향,-0.0385474892550777,0.08136443075983497,-0.009267351906620246,0.05605031518965027,-0.05441904334002178,0.038124588405250404,0.08860246940152516,0.49318453808102847
행정,0.28219717026885766,0.7816900957630191,0.12338189274177146,0.24108725641421586,0.10714828427925069,-0.13325967252447368,-0.03802712454567645,-0.09773202978478501
환경,0.5181078645337941,0.2755473192903317,0.13217549860154687,0.1664742127397258,0.2038037723913518,0.04157384769063462,-0.22509027539173887,-0.1617071152618609
환경개선여부,0.09317172498053496,0.04553008488665637,0.10453199869041095,0.07743086422677946,0.5604657970655196,-0.0956844921743148,-0.04475714589901374,0.0015722932979575996
