no,name,location,category
178,미디어포스트, 안동시,광고
179,미디피아, 경산시,게임
180,미래광고기획, 상주시,광고
181,미래로정보기술, 문경시,지식정보
182,믹앤멕, 포항시,지식정보
183,배뱅이영상포토, 구미시,광고
184,보광, 안동시,광고
185,보노커뮤니케이션즈, 구미시,지식정보
186,복덕판, 영천시,지식정보
187,봉화일보, 봉화군,출판
188,브라이튼, 경산시,지식정보
189,블루기획, 경산시,공연
190,블루디자인, 경산시,광고
191,블루베리엔터테인먼트,,게임
192,블루스카이, 경산시,광고
193,빌리도, 구미시,지식정보
194,빛나라코리아, 영주시,지식정보
195,사단법인경북미래문 화재단, 안동시,공연
196,사단법인어울누리, 안동시,공연
197,사운드파크, 안동시,음악
198,사이버빌, 경산시,지식정보
199,삼성AnD, 고령군,광고
200,삼우애드컴, 포항시,캐릭터
201,상경광고사, 문경시,광고
202,상산신문, 상주시,출판
203,상주고향신문, 상주시,출판
204,상주문경교차로, 상주시,출판
205,상주시민신문, 상주시,출판
206,상주신문, 상주시,출판
207,샘디자인기획, 안동시,광고
208,생활타임즈, 안동시,출판
209,서동문문화기획단, 안동시,캐릭터
210,서라벌신문, 경주시,출판
211,서완, 포항시,지식정보
212,서울광고산업, 구미시,출판
213,서울디지털신문사, 포항시,출판
214,서울애드컴, 경주시,광고
215,서진트레이딩인터내 셔널, 구미시,방송
216,선교기획, 포항시,출판
217,선구, 칠곡군,출판
218,선샤인프로덕션, 안동시,영화
219,성광기획, 포항시,광고
220,성신솔루션, 구미시,지식정보
221,성심인쇄소, 안동시,출판
222,성일기획인쇄, 경산시,광고
223,성주방송, 성주군,방송
224,성주신문, 성주군,출판
225,성주자치신문, 성주군,출판
226,성화광고, 포항시,광고
227,세기광고사, 안동시,광고
228,세원후렉소, 성주군,출판
229,세종기획, 상주시,광고
230,세진기획, 안동시,출판
231,센정보통신, 구미시,지식정보
232,소니스트, 경산시,게임
233,소백출판사, 영주시,출판
234,소셜미디어, 경주시,방송
235,소프트플러스, 구미시,지식정보
236,솔벗, 상주시,지식정보
237,송정광고, 포항시,광고
238,수디자인, 안동시,출판
239,스탁에듀, 포항시,지식정보
240,스튜디오하이랜딩, 안동시,애니메이션
241,스트라드비젼, 포항시,지식정보
242,시사문경, 문경시,출판
243,식쇼, 포항시,광고
244,신라선예술단, 경주시,공연
245,신원음향, 경주시,공연
246,신진종합인쇄, 포항시,출판
247,신흥인쇄광고사, 경주시,출판
248,씨닉스, 포항시,지식정보
249,씨씨에듀, 포항시,콘텐츠솔루션
250,씨앗드림, 포항시,캐릭터
251,씨온엔터테인먼트, 경산시,게임
252,씨제이헬로비전영남 방송, 안동시,방송
253,아니스트, 안동시,지식정보
254,아스타엔터테인먼트, 경산시,게임
255,아시아뉴스통신대구경북, 경산시,지식정보
256,아이레경북지사, 안동시,만화
257,아이엠샘넷, 경산시,광고
258,아이엠지, 경주시,콘텐츠솔루션
259,아이엠환경디자인, 안동시,공연
260,아이펀네트웍스, 경주시,콘텐츠솔루션
261,아침기획인쇄, 칠곡군,출판
262,아카데미광고사, 안동시,광고
263,아트테크, 구미시,지식정보
264,아트플럿폼한터울, 포항시,공연
265,안동교차로, 안동시,출판
266,안동문화방송, 안동시,방송
267,안동시소년소녀합창단, 안동시,공연
268,안동신문, 안동시,출판
269,애니에스, 안동시,만화
270,애니케이알, 칠곡군,지식정보
271,애드게이트, 구미시,출판
272,애드컴티에스, 안동시,광고
273,액티브네트웍스, 영천시,융복합 콘텐츠
274,앨리스, 구미시,지식정보
275,앱솔, 영주시,게임
276,양정모바일, 경산시,지식정보
277,어찌닷컴, 포항시,지식정보
278,에듀비즈넷, 영주시,지식정보
279,에드웹, 구미시,지식정보
280,에스메이커, 포항시,지식정보
281,에스알소프트, 경산시,게임
