700M,,,,,1KM,,,,,2KM,,,,
==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,,==========[ 마트 ] ==========,,,,
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  3,,,  3,  3
검색어 :  유치원 개수 :  7,,,  7,  7,검색어 :  유치원 개수 :  10,,, 10, 10,검색어 :  유치원 개수 :  18,,, 18, 18
검색어 :  유치원 개수 :  1,,,  1,  1,검색어 :  유치원 개수 :  3,,,  3,  3,검색어 :  유치원 개수 :  10,,, 10, 10
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  2,,,  2,  2,검색어 :  유치원 개수 :  11,,, 11, 11
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  3,,,  3,  3
검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  0,,,  0,  0,검색어 :  유치원 개수 :  1,,,  1,  1
검색어 :  유치원 개수 :  1,,,  1,  1,검색어 :  유치원 개수 :  2,,,  2,  2,검색어 :  유치원 개수 :  15,,, 15, 15
==========[ 학교 ] ==========,,,===,===,==========[ 학교 ] ==========,,,===,===,==========[ 학교 ] ==========,,,===,===
검색어 :  학교 개수 :  4,,,  4,  4,검색어 :  학교 개수 :  4,,,  4,  4,검색어 :  학교 개수 :  53,,, 53, 53
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  12,,, 12, 12
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  1,,,  1,  1
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  9,,,  9,  9
검색어 :  학교 개수 :  16,,, 16, 16,검색어 :  학교 개수 :  25,,, 25, 25,검색어 :  학교 개수 :  66,,, 66, 66
검색어 :  학교 개수 :  3,,,  3,  3,검색어 :  학교 개수 :  7,,,  7,  7,검색어 :  학교 개수 :  20,,, 20, 20
검색어 :  학교 개수 :  1,,,  1,  1,검색어 :  학교 개수 :  8,,,  8,  8,검색어 :  학교 개수 :  46,,, 46, 46
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  9,,,  9,  9
검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  0,,,  0,  0,검색어 :  학교 개수 :  8,,,  8,  8
검색어 :  학교 개수 :  2,,,  2,  2,검색어 :  학교 개수 :  7,,,  7,  7,검색어 :  학교 개수 :  43,,, 43, 43
==========[ 주차장 ] ==========,,,===,===,==========[ 주차장 ] ==========,,,===,===,==========[ 주차장 ] ==========,,,===,===
검색어 :  주차장 개수 :  5,,,  5,  5,검색어 :  주차장 개수 :  8,,,  8,  8,검색어 :  주차장 개수 :  64,,, 64, 64
검색어 :  주차장 개수 :  11,,, 11, 11,검색어 :  주차장 개수 :  18,,, 18, 18,검색어 :  주차장 개수 :  86,,, 86, 86
검색어 :  주차장 개수 :  8,,,  8,  8,검색어 :  주차장 개수 :  14,,, 14, 14,검색어 :  주차장 개수 :  29,,, 29, 29
검색어 :  주차장 개수 :  33,,, 33, 33,검색어 :  주차장 개수 :  49,,, 49, 49,검색어 :  주차장 개수 :  100,,,100,100
검색어 :  주차장 개수 :  51,,, 51, 51,검색어 :  주차장 개수 :  68,,, 68, 68,검색어 :  주차장 개수 :  139,,,139,139
검색어 :  주차장 개수 :  6,,,  6,  6,검색어 :  주차장 개수 :  9,,,  9,  9,검색어 :  주차장 개수 :  44,,, 44, 44
검색어 :  주차장 개수 :  25,,, 25, 25,검색어 :  주차장 개수 :  48,,, 48, 48,검색어 :  주차장 개수 :  166,,,166,166
검색어 :  주차장 개수 :  33,,, 33, 33,검색어 :  주차장 개수 :  49,,, 49, 49,검색어 :  주차장 개수 :  100,,,100,100
검색어 :  주차장 개수 :  11,,, 11, 11,검색어 :  주차장 개수 :  24,,, 24, 24,검색어 :  주차장 개수 :  87,,, 87, 87
검색어 :  주차장 개수 :  7,,,  7,  7,검색어 :  주차장 개수 :  15,,, 15, 15,검색어 :  주차장 개수 :  105,,,105,105
==========[ 공영주차장 ] ==========,,,===,===,==========[ 공영주차장 ] ==========,,,===,===,==========[ 공영주차장 ] ==========,,,===,===
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  13,,, 13, 13
검색어 :  공영주차장 개수 :  0,,,  0,  0,검색어 :  공영주차장 개수 :  0,,,  0,  0,검색어 :  공영주차장 개수 :  7,,,  7,  7
검색어 :  공영주차장 개수 :  2,,,  2,  2,검색어 :  공영주차장 개수 :  8,,,  8,  8,검색어 :  공영주차장 개수 :  12,,, 12, 12
검색어 :  공영주차장 개수 :  1,,,  1,  1,검색어 :  공영주차장 개수 :  2,,,  2,  2,검색어 :  공영주차장 개수 :  2,,,  2,  2
검색어 :  공영주차장 개수 :  3,,,  3,  3,검색어 :  공영주차장 개수 :  7,,,  7,  7,검색어 :  공영주차장 개수 :  21,,, 21, 21
