,company,title,source,head,url
0,에듀 커뮤니티,술 판매 제한되다보니… 광교 에듀타운 상인들 '쓴잔',경인일보," 광교신도시와 관련한 온라인 커뮤니티에서 자신을 에듀타운에 거주한다고 소개한 주민은 ""노래방이며 유흥주점이 가까이 있는 게 일반적인 도시의 모습인데 여긴 그렇지 않아서 좋다""고 강조했다. 교육환경보호구역... ",http://www.kyeongin.com/main/view.php?key=20220627010004859
1,에듀 커뮤니티,"지텔프에듀, 지텔프 전문관 사이트 전면 리뉴얼 오픈",데일리시큐," 지텔프에듀 리뉴얼 사이트의 장점은 지텔프 수험생들에게 정보를 제공하는 커뮤니티로 현재 지텔프 수험생들의 공부방법 및 시험 후기 등을 공유하기 위해 쉽게 이용이 가능해진 것과 무료강의, 무료자료, 수강후기... ",https://www.dailysecu.com/news/articleView.html?idxno=137917
2,에듀 커뮤니티,"""온라인이라고 딴 짓 못해""…수강생 멱살 잡고 듣게 하는 에듀테크의 비법 [긱...",한국경제," ""우리 콘텐츠가 좋은데 왜 인기가 시들하지""하고 고민하는 에듀테크 기업들이 적지 않습니다. 그 차별화... 강사와 회원이 그동안 개별적으로 연락하거나 정보 공유를 위해 별도의 메신저나 커뮤니티 서비스를... ",https://www.hankyung.com/it/article/202206165852i
3,에듀 커뮤니티,"지텔프에듀, 공식 지텔프 전문관사이트 전면 리뉴얼 오픈",법률저널, 지텔프에듀 리뉴얼 사이트의 큰 장점으로는 지텔프 수험생들에게 정보를 제공하는 커뮤니티로 현재 지텔프 수험생들의 공부방법 및 시험 후기 등을 공유하기 위해 쉽게 이용이 가능하다는 점이다. 특히 무료강의... ,http://www.lec.co.kr/news/articleView.html?idxno=737887
4,에듀 커뮤니티,"AI 에듀테크 '뤼이드', 콜롬비아 고등학교 졸업 시험 '사베르 11' 인공지능 선...",인공지능신문," 기반 에듀테크 스타트업 뤼이드(대표 장영준. Riiid)와 콜롬비아와 푸에르토리코에 기반을 두고... 관리자, 커뮤니티 및 지역을 위한 게임 체인저로 작용했습니다""라고 말했다. 이어 그는 ""이는 더 많은 학생들이... ",http://www.aitimes.kr/news/articleView.html?idxno=25418
5,에듀 커뮤니티,"3050 챌린지 커뮤니티 굿짹월드, 첫 번째 팝업스토어 오픈해",에듀동아," 국내 최대의 3050 챌린지 커뮤니티, 굿짹월드가 MKYU 캠퍼스 기획으로 첫 번째 팝업스토어를 열어 화제를... 또 하나의 출발점이 될 것”이라고 말했다. ▶에듀동아 위 기사의 법적인 책임과 권한은 에듀동아에 있습니다. ",http://edu.donga.com/?p=article&ps=view&at_no=20220620104945472101
6,에듀 커뮤니티,"YBM, 영어 교육 및 학습 지원 커뮤니티 'YBM 초중고 북샘 카페' 오픈",에듀동아, 온라인 커뮤니티 ‘YBM 초중고 북샘 카페’를 최근 공식 오픈했다고 밝혔다. YBM 초중고 북샘 카페는 학생... 전국 주요 서점에서 절찬리 판매 중이다. ▶에듀동아 위 기사의 법적인 책임과 권한은 에듀동아에 있습니다. ,http://edu.donga.com/?p=article&ps=view&at_no=20220617111207708612
7,에듀 커뮤니티,"지안에듀, 2023 지안 기술직 오프라인 설명회 진행",법률저널," 또한 커뮤니티에 2023 지안 기술직 오프라인 설명회 내용을 공유하면 추첨을 통해 치킨, 커피, 아이스크림 등 간식을 증정한다. 지안에듀 관계자는 ""이번 설명회를 통해 공부방법에 관한 모든 궁금한 점들을 해결했으면... ",http://www.lec.co.kr/news/articleView.html?idxno=737834
8,에듀 커뮤니티,"라이브 오디오 언어교환 앱 '하이로컬', 글로벌 3위 안착",뉴스핌," 윤 대표는 ""기존의 에듀테크 시장은 레드오션이지만, 소셜 커뮤니티와 에듀테크를 융합한 접근은 분명한 차별점이 있다""며 ""언어교환 분야 글로벌 1위를 넘어서 소셜 커뮤니케이션 플랫폼으로 성장하겠다""고 말했다.... ",http://www.newspim.com/news/view/20220712000836
9,에듀 커뮤니티,온라인 공부방·또래 커뮤니티…에듀테크 새학기 맞아 '활기',한국경제," 등 ‘에듀테크(교육+기술)’ 벤처기업 기술이 잇따라 초·중·고교 현장에서 활용되고 있다. 신학기를 맞아 비대면 수업을 위한 학습 관리 시스템을 비롯해 학생과 학부모를 위한 맞춤형 교육 및 커뮤니티 서비스, 교사를... ",https://www.hankyung.com/economy/article/2022030945361
10,에버네솔,NBA부사장 “이현중 최고 슈터…홍보 효과 기대”,MK스포츠, 크리스 에버솔 NBA 부사장 겸 육성 부문 총책은 6일 미국 문화매체 ‘오지’와 인터뷰에서 “이현중은 5년... 에버솔 부사장은 “이현중은 (같은 매커니즘을 유지하는) 기계적인 능력이나 아름다운 자세 등 슈팅의... ,http://mksports.co.kr/view/2022/147124/
