,company,title,source,head,url
0,대창라바텍,(재송)17일 장 마감 후 주요 종목뉴스,이데일리, ▲ 서원(021050) = 자회사인 대창공업에 대한 지배권 강화를 위해 대창공업 지분 300만주(5%)를 장외 취득함.... ▲ 글로웍스(034600) = 신약 및 신물질 개발을 주요사업으로 하는 메디라바텍 인수 계약 해지에 따라 지분... ,http://www.edaily.co.kr/news/newspath.asp?newsid=01121766589788632
1,대창라바텍,전일 장 마감 후 주요공시(8월18일),이투데이, ▲서원= 자회사인 대창공업에 대한 지배권 강화를 위해 대창공업 지분 300만주(5%)를 장외 취득함.... ▲ 글로웍스= 신약 및 신물질 개발을 주요사업으로 하는 메디라바텍 인수 계약 해지에 따라 지분 취득 결정을... ,http://www.etoday.kr/news/section/newsview.php?TM=news&SM=0107&idxno=248906
2,대창라바텍,17일 장 마감 후 주요 종목뉴스,이데일리, ▲ 서원(021050) = 자회사인 대창공업에 대한 지배권 강화를 위해 대창공업 지분 300만주(5%)를 장외 취득함.... ▲ 글로웍스(034600) = 신약 및 신물질 개발을 주요사업으로 하는 메디라바텍 인수 계약 해지에 따라 지분... ,http://www.edaily.co.kr/news/newspath.asp?newsid=02604326589788304
3,더바이크,‘알레바이크 알파 폴스타 에디션’ 공개...100대 한정 판매,세계일보, 사진=폴스타 제공 폴스타(Polestar)가 스웨덴의 하이엔드 자전거 제조업체인 알레바이크(Allebike)와의... 시팅 포지션은 좀 더 직립하도록 세팅되어 효율적인 등반을 가능하게 하고 65도의 헤드 튜브 각도는 다운힐... ,http://www.segye.com/content/html/2022/07/13/20220713511739.html?OutUrl=naver
4,더바이크,"오정연, 슈퍼바이크 즐기는 일상 ""왕복 100㎞ 주행…신세계네""",뉴스1," (레플리카 바이크)에 걸맞은 포지션을 찾았다, 신세계네""라며 ""고속 주행 때 몸을 숙일수록 안정성이 더 높게 느껴지는 게 확 체감이 되네, 물론 서울 시내에서는 자체적으로 순한 양으로 변신, 음메""라고 느낀 바를... ",https://www.news1.kr/articles/?4737744
5,더바이크,"태그볼트 리뷰 | ""내 자전거는 내가 지킨다"" 물통걸이 부착형 에어태그 케이스",ITWorld," 덕분에 마치 추적 장치가 설치되지 않은 것처럼 보이는 장점이 있다. 자전거 도난이 걱정되거나 수많은 자전거 중 내 것을 더 쉽게 찾고 싶다면, 태그볼트 바이크는 자전거에 추적기를 설치하는 가장 간편한 방법이다. ",https://www.itworld.co.kr/news/244524
6,더바이크,"박명수, 3천만 원 대 고가 바이크 새로 구입했나…반전 취미 눈길 [TEN★]",텐아시아," 평소 바이크 마니아로 알려진 박명수답게 고가의 두카티 바이크를 타고 있어 놀라움을 자아낸다. 이를 본 팬들은 ""두카티의 낮은 포지션으로 인해 넘어지면 상체보다 하체가 더 손상 입기 쉽다. 라이딩 슈즈는 가벼운... ",https://tenasia.hankyung.com/tv/article/2022070458314
7,더바이크,카카오바이크 통행불편 논란 본사 “노력 중” 원론적 답변만,경남신문, 속보= 창원에서 최근 사업을 개시한 카카오T바이크가 주민 통행을 방해하는 등 민원을 야기하고 있다는 본지... 조금 더 고취될 수 있는 다양한 방안을 고민하고 있다”고 밝혔다. 그러면서 “악성 주차와 관련 고객 센터에... ,http://www.knnews.co.kr/news/articleView.php?idxno=1380602
8,더바이크,모터바이크로 서울-인제 횡단한 사우디 관광책임자,연합뉴스," "" 사우디아라비아 관광 총책임자가 모터바이크로 강원도 속살을 훑고 전통음식을 맛봤다. 사우디아라비아... 그러면서 ""세상을 더 잘 이해하는 방법의 하나는 여행이다. 사우디 국민이 한국을 방문하도록 하고, 한국... ",https://www.yna.co.kr/view/AKR20220628131600805?input=1195m
9,더바이크,하이원 추추파크 '더쉼 글램핑' 오픈 기념행사,스타뉴스," 침대방·테라스·화장실이 포함된 독채 다섯 사이트를 운영한다. 하이원 추추파크 김봉환 대표이사는 ""더쉼 글램핑 오픈이 기존 레일바이크, 스위치백 트레인, 캠핑장 등 즐길거리와 시너지를 낼 것으로 기대한다""고 밝혔다. ",http://star.mt.co.kr/stview.php?no=2022070314404485347
10,더바이크,"[新타슈시대 열린다] 더 편하고 경쾌하게 … 타슈 시즌2, 일상을 바꾸다",금강일보, 외관은 카카오 바이크와 흡사하다. 호기심과 함께 다가간 자전거에는 '타슈' 마크가 새겨져 있다. 타슈... 본래 목적지인 용문역 인근에도 스테이션이 세워져 있었지만 오늘만큼은 더 페달을 더 밟고 싶었다. 아니 내일도... ,http://www.ggilbo.com/news/articleView.html?idxno=921217
11,더바이크,"하이원 추추파크, '더쉼 글램핑' 오픈",MTN," 하이원 추추파크 김봉환 대표이사는 “더쉼 글램핑 오픈이 기존 레일바이크, 스위치백 트레인, 캠핑장 등... 산악형 레일바이크, 스위치백 트레인 등 다양한 체험시설을 갖추고 있다. 신효재 머니투데이방송 MTN 기자 ",https://news.mtn.co.kr/news-detail/2022063014430527528
12,더바이크,"지긋지긋한 오토바이 소음 ""잠 좀 잡시다""",베이비타임즈," 라이더들은 자신의 바이크를 좀 더 멋지게 표현하고 싶은 마음이 있다. 하나의 개성을 표현하는 방식이다. 인터넷에서 판매되고 있는 가품 머플러 짭XX포빅, 인터뷰를 진행한 라이더는 정품보다 저렴하며 구조변경할 때... ",http://www.babytimes.co.kr/news/articleView.html?idxno=58507
13,두레방아협동조합,‘지혜공유’ 협동조합까지 다양한 형태로 진화,한겨레, 지혜공유협동조합 운영위원들이 지난 8일 경기도 고양시 일산동구 백석동 두레치과의원 아트홀에서 회의를... 14일 조합의 아지트인 ‘오늘은 쉬어야지’ 카페에서 세번째 앙코르 강좌가 열렸다. 백석동 주민 방아무개... ,http://www.hani.co.kr/arti/society/area/619742.html
14,두레방아협동조합,"[7일 낙찰/계약 동향] 2020년 위생관리 용역계약, 성일정보고 2020학년도 초과...",블록체인밸리," ▲ 낙찰업체 : 주식회사케이두레, 계약금액 : 29,148,720(원), 계약명 : 2020학년도 당직 경비 용역 연간 계약.... ▲ 낙찰업체 : 한국안전기술협회 사회적협동조합, 계약금액 : 1,530,000(원), 계약명 : [파주]가온초... ",http://www.fintechpost.co.kr/news/articleView.html?idxno=103882
15,두레방아협동조합,국영수 공부하듯 농사를 배우면 벌어지는 일,오마이뉴스," 모내기부터 물 관리, 풀 매기, 타작과 방아 찧기를 보면서 아이들이 전통 두레와 짚공예, 민속놀이... 쓰고 '교육농 협동조합'에서 엮은 책이라 우리나라의 고질인 교육문제와 농업문제에 대한 새로운... ",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002592216&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
16,두레방아협동조합,"[글쓰는 농부 전희식의 서재] 생태 감수성 기르는 학교, 교육으로 바라 ...",한국농어민신문," 모내기부터 물 관리, 풀 매기, 타작과 방아 찧기를 보면서 아이들이 전통 두레와 짚공예, 민속놀이... ‘교육농 협동조합’에서 엮은 책이라 우리나라의 고질인 교육문제와 농업문제에 대한 새로운 안목을... ",http://www.agrinet.co.kr/news/articleView.html?idxno=172032
17,두레방아협동조합,도시 재생 기대감 속 재원마련은 ‘…’,헤럴드경제, 방학동 방아골 두레주택 건립 부엌 · 거실 공유형태 다중주택 뉴타운 존치지구 소리마을센터 복지위한... 소리마을센터는 마을에서 결성된 사회적협동조합이 운영 중이다. 카페와 어린이집 등을 어떻게 운영하느냐에... ,http://biz.heraldcorp.com/view.php?ud=20140227000387
18,두레방아협동조합,서울시장과 뉴타운 해제지구 대안사업 현장 방문해보니,헤럴드POP," 3곳은 서울 도봉구 방학동 방아골 두레주택, 성북구 길음동 소리마을센터, 뉴타운지구 전체 해제된... 소리마을센터는 마을에서 결성된 사회적협동조합이 운영 중이다. 카페와 어린이집 등을 어떻게 운영하느냐에 따라... ",http://biz.heraldcorp.com/view.php?ud=20140227000396
19,디스토리,"제이미 리 커티스, 이서진 이어 아나 디 아르마스에 인종차별? ""쿠바에서 왔길...",엑스포츠뉴스, 제이미 리 커티스는 이렇게 물은 이유에 대해 아나 디 아르마스의 연기가 너무 인상적이었기 때문에 스티븐 스필버그 감독의 '웨스트 사이드 스토리'에 마리아 역으로 추천하기 위해서였다고. 또 할리우드 대표 남매... ,https://www.xportsnews.com/article/1603897
20,디스토리,[남화영의 골프장 인문학 45] 디오픈 개최지 카누스티,헤럴드경제," 1931년을 시작으로 1937, 1953, 1968, 1975, 1999, 2007, 2018년 개최하면서 숱한 레전드 스토리를 만들어냈다. 가장 유명한 건 1999년 3타 차 선두로 마지막날 마지막 홀에 섰으나 무너진 프랑스의 쟝 방 드 벨드의 비극이다. 더블... ",http://news.heraldcorp.com/sports/view.php?ud=202207091504277487289_1
21,디스토리,"에이티즈, 신보 2차 트레일러 공개...영화같은 스토리에 관심↑",싱글리스트, 지난 11일 에이티즈는 '디 어웨이크닝 오브 서머'라는 부제의 오피셜 트레일러 1편을 공개해 이틀 만에 조회 수 약 45만을 기록하는가 하면 공개 직후 트위터 월드와이드 트렌드에 '#ATEEZ_MOVEMENT' 및 'ATEEZ MOVEMENT... ,http://www.slist.kr/news/articleView.html?idxno=368582
22,디스토리,"'수비 불안' 맨유, 밀란에서 '인생 역전 스토리' 쓴 DF 원한다",포포투," 이탈리아 축구 전문가로 알려진 지안루카 디 마르지오는 ""맨유는 지난 시즌 뛰어난 활약을 펼치며 AC 밀란의... 토모리는 인생 역전 스토리를 쓴 수비수다. 첼시 유스 출신인 토모리는 큰 기대를 받으며 성장했고, 경험을... ",http://www.fourfourtwo.co.kr/news/articleView.html?idxno=16066
