,company,title,source,head,url
0,(주)에이치앤에이치디벨롭먼트,삼부토건 (주)에이치앤에이치디벨롭먼트와 529억원 계약체결,국민일보," 삼부토건은 (주)에이치앤에이치디벨롭먼트와 529억원 규모의 계약을 체결했다고 7일에 공시했다. 이번 계약은 공사수주이다. 계약규모는 529억원으로 최근 매출액인 1774억원 대비 29.87% 수준이다. 한편, 삼부토건의... ",http://news.kmib.co.kr/article/view.asp?arcid=0013580468&code=61141211&cp=nv
1,(주)에이치앤에이치디벨롭먼트,"[공시] 삼부토건(001470), 에이치앤에이치디벨롭먼트와 530억 규모 공사 계약...",오늘경제, 오늘경제 코스피 상장기업 삼부토건(001470)이 (주)에이치앤에이치디벨롭먼트와 530억원 규모의 지식산업센터(청류지산) 신축공사 계약을 체결했다고 7일 공시했다. 공사 수주 지역은 인천광역시 남동구... ,http://www.startuptoday.co.kr/news/articleView.html?idxno=28347
2,(주)에이치앤에이치디벨롭먼트,"삼부토건, 에이치앤에이치디벨롭먼트와 530억 규모 공사 계약 체결",이투데이, 이투데이=이지민 기자 | 삼부토건이 (주)에이치앤에이치디벨롭먼트와 530억 원 규모의 지식산업센터(청류지산) 신축공사 계약을 체결했다고 7일 공시했다. 공사 수주 지역은 인천광역시 남동구 고잔동 662-3이다.... ,http://www.etoday.co.kr/news/section/newsview.php?idxno=1785659
3,(주)에이치앤에이치디벨롭먼트,삼부토건 수주공시 - 지식산업센터[청류지산] 신축공사 530억원 (매출액대비 ...,한국경제," 계약 상대방은 (주)에이치앤에이치디벨롭먼트이고, 계약금액은 530억원 규모로 최근 삼부토건 매출액 1,774.3억원 대비 약 29.87% 수준이다. 이번 계약의 시작일은 2019년 08월 06일부터이고, 계약 종료일은 발표하지... ",https://www.hankyung.com/finance/article/201908079333L
4,(주)원디스플레이,[DD 퇴근길] 가상자산거래소 1만개 일자리 창출 가능할까?,디지털데일리언론사 선정," 디스플레이는 최대 120헤르츠(㎐) 주사율을 구현하고, 내부 디스플레이는 7.6인치... 우마무스메 주 사용자는 20대 남성인 것으로 집계됐습니다. 전체 사용자 68.7%가 남성이며, 20대 남성 사용자는 전체 사용자 46.9%에... ",https://www.ddaily.co.kr/news/article.html?no=242069
5,(주)원디스플레이,"한은 금리인상 속, 코스피 '상승'...현대차 · 대한항공 · 아모레퍼시픽 '급...",초이스경제," 원-달러 환율도 여전히 1300원을 웃돌면서 외국인들의 매도세를 자극했다. 향후 시장을 관망하는... LG전자(0.77%), LG디스플레이(1.71%), LG이노텍(2.74%), 삼성전기(0.76%) 등 IT 대형주들은 상승했다. 현대차는... ",http://www.choicenews.co.kr/news/articleView.html?idxno=102829
6,(주)원디스플레이,두번 접고 가로세로 늘리고…삼성·LG 디스플레이 또 한 번의 혁신,문화일보언론사 선정," ■ ICT - 세계 최대 ‘SID 디스플레이 위크 2022’서 찬사 삼성, 새로운 개념의 슬라이더블 웹서핑 등 상황별... 삼성디스플레이·LG디스플레이가 지난 10∼13일(현지시간) 미국 캘리포니아주 새너제이에서 열린 세계 최대... ",http://www.munhwa.com/news/view.html?no=2022051601031921079001
7,(주)원디스플레이,"LG디스플레이, 97인치 초대형 OLED.EX·벤더블 OLED 전시",아시아투데이, 美 세계 최대 디스플레이 전시회 'SID 2022' 참가 'OLED가 열어갈 새로운 미래' 제시 LG디스플레이가 10일부터 3일간 미국 캘리포니아주 새너제이에서 열리는 국제정보디스플레이학회(SID) 2022 전시회에서 97인치... ,https://www.asiatoday.co.kr/view.php?key=20220510010005437
8,(주)원디스플레이,코스피 '기진맥진'...기아 · LG디스플레이 · SK텔레콤 등은 '선방',초이스경제, 원-달러 환율도 장중 1289원까지 급등(원화가치 하락)하면서 코스피 지수 흐름에 충격을 가했다.... LG디스플레이는 0.59% 상승했다. 현대차(-1.37%)는 하락했고 기아(0.23%)는 상승했다. 현대모비스(-2.27... ,http://www.choicenews.co.kr/news/articleView.html?idxno=100361
9,(주)원디스플레이,"""기름값이 폭락했다"" S-Oil 9.3% 급락하자...카카오 주식 웃었다",머니투데이언론사 선정," 글로벌 경기 침체 공포에 원/달러 환율도 장중 1310원을 돌파하며 연고점을 갈아치웠다. 이날... 작년 코스피 최고점 대비 주가가 코스피 지수보다 더 많이 하락한 업종은 소프트웨어, 화장품, 헬스케어, 디스플레이... ",http://news.mt.co.kr/mtview.php?no=2022070615343811277
