,company,title,source,head,url
0,(주)나노신소재,"[특징주] 나노신소재, 장중 주가 폭발..매수 시황 보니 '거래량' 빨간불",내외경제tv," 사진=나노신소재 나노신소재 주가가 강세를 보이고 있다. 19일 오전 10시 37분 기준 나노신소재가 전일대비 15.48% 오른 92,600원에 거래중이다. 이날 나노신소재 매수 상위에서 씨티그룹 70,646 거래량에 빨간불이... ",https://www.nbntv.co.kr/news/articleView.html?idxno=973365
1,(주)나노신소재,"[특징주] 나노신소재, 탄소나노튜브 영향…주가는?",내외경제tv," 사진=나노신소재 나노신소재의 주가가 장중 반등하는 모습을 보이고 있다. 27일 오전 11시 18분 기준 나노신소재의 주가는 전일 대비 3.49% 오른 71,400원에 거래되고 있다. 나노신소재는 지난 26일 하이투자증권의 매수... ",https://www.nbntv.co.kr/news/articleView.html?idxno=968955
2,(주)나노신소재,[급등주] 나노신소재 7% 상승 '2차전지 수익성 악화 해소 평가',국제뉴스," 특징주 나노신소재가 상승하고 있다. 13일 오전 11시 6분 기준 나노신소재는 7.26%(4600원) 상승한 6만 8000원에 거래 중이다. 나노신소재는 2차 전지 관련주로, 수익성 악화 우려가 과했다는 평가가 나오면서 수혜를 입고... ",https://www.gukjenews.com/news/articleView.html?idxno=2446716
3,(주)나노신소재,"[특징주] 화학관련주 효성화학·나노신소재, 현재 주가 시황은?",내외경제tv," 효성화학 주가가 강세를 보이고 있다.(사진=효성화학) 신단아 기자=화학관련주인 효성화학과 나노신소재의 주가가 상승세다. 10일 오전 11시 1분 효성화학의 주가는 전 거래일 대비 6.62% 상승한 281,500원에 거래... ",http://www.nbntv.co.kr/news/articleView.html?idxno=953822
4,(주)나노신소재,"""나노신소재, 양·음극재 성장 동시 수혜""…11% 급등",한국경제, 2차전지 소재 관련주인 나노신소재 주가가 반등 조짐을 보이고 있다. 실리콘 음극재 시장이 성장하면서 이 회사의 주요 제품인 탄소나노튜브(CNT) 도전재 수요가 급증할 것이라는 전망이 나온다. 나노신소재는 9일 11.... ,https://www.hankyung.com/finance/article/2022020923171
5,(주)나노신소재,"[특징주] 나노신소재, 삼성 QD OLED 패널 양산 수혜주 부각에 '신고가'",머니S, 나노신소재가 삼성디스플레이 QD-OLED 패널 양산 본격화에 따른 수혜주로 부각되면서 상승세다. 7일 오후 1시27분 나노신소재는 전거래일 대비 8300원(12.85%) 상승한 7만2900원에 거래되고 있다. 장중 7만8000원까지... ,http://moneys.mt.co.kr/news/mwView.php?no=2021120713288087332
6,(주)나노신소재,"[특징주] 나노신소재, 전기차 배터리 핵심 'CNT'수요 급증… 음극재용 CNT 유...",머니S, 전기자동차 배터리의 수명과 충전시간 등 성능을 높이기 위한 탄소나노튜브(CNT)의 수요가 급증한 가운데 나노신소재의 주가가 강세다. 10일 오전 9시21분 나노신소재는 전거래일대비 4900원(7.07%) 오른7만4200원에... ,http://moneys.mt.co.kr/news/mwView.php?no=2021121009198021407
7,(주)나노신소재,"[특징주]나노신소재, ""2차전지 소재 중 가장 저평가"" 분석에 '강세'",이데일리, 나노신소재(121600)가 2차 전지 소재 업재 중 가장 저평가됐다는 증권가 분석에 장 초반 주가가 강세를 보이고 있다. 6일 마켓포인트에 따르면 오전 9시 21분 현재 나노신소재는 전 거래일 대비 3.14%(2000원) 오른... ,http://www.edaily.co.kr/news/newspath.asp?newsid=01544886629275896
8,(주)나노신소재,"[특징주] 나노신소재, 中요소수 독식 여파 2차전지 확대 가능성에 上",EBN, 나노신소재가 상한가에 근접했다. 중국의 요소수 독식이 2차전지 공급망으로 확대될 수 있다는 가능성이 투자심리에 영향을 끼친 것으로 풀이된다. 11일 한국거래소에 따르면 이날 오후 2시 28분 현재 나노신소재는... ,https://www.ebn.co.kr/news/view/1507768/?sc=Naver
9,(주)나노신소재,"[특징주] 나노신소재 29% 급등 '리비안, 성공적 데뷔 영향'",국제뉴스, 나노신소재 나노신소재가 급등했다. 11일 나노신소재는 29.96%(1만 5700원) 상승한 6만 8100원에 거래를 마쳤다. 나노신소재는 2차 전지 관련주로 미국 전기차 업체 리비안이 성공적으로 증시에 데뷔하면서 영향을... ,http://www.gukjenews.com/news/articleView.html?idxno=2346471
