(주)삼우전자,안산시,(주)삼우전자,설립일                            2016년 03월 14일                                (업력 6년)대표자명정영화업종인쇄회로기판용 적층판 제조업평균연봉3500만원▲                                                        전체기업주소경기 안산시 단원구 지원로 107-26,중소기업,업력 7년차
(주)스마트클린테크,안산시,(주)스마트클린테크,설립일                            2015년 01월 14일                                (업력 7년)대표자명이윤지/이수원업종반도체 제조용 기계 제조업평균연봉5500만원▲                                                        전체기업주소경기 안산시 단원구 지원로 107-36,5명,중소기업
(주)에스오일렉트로닉스,안산시,(주)에스오일렉트로닉스에 대한 검색결과 없음,(주)에스오일렉트로닉스에 대한 검색결과 없음,(주)에스오일렉트로닉스에 대한 검색결과 없음,(주)에스오일렉트로닉스에 대한 검색결과 없음
(주)에이엘텍,안산시,(주)에이엘텍,"대표자명김귀성업종기타 비철금속 제련, 정련 및 합금 제조업재무정보매출액 45억원▲영업이익 5000만원▲(2019년 기준)전체평균연봉3500만원▲                                                            (2019년 기준)전체기업주소경기 안산시 단원구 지원로 107-20","45억 6,892만원",중소기업
(주)에이켐테크놀로지,안산시,(주)에이켐테크놀로지,"설립일                            2009년 10월 07일                                (업력 13년)대표자명유신종업종금속 열처리업평균연봉3000만원▲                                                        전체기업주소경기 안산시 단원구 지원로 107-36, 203호",중소기업,업력 14년차
(주)엘리트전자,안산시,(주)엘리트전자,"설립일                            2019년 03월 22일                                (업력 3년)대표자명김우현업종전자코일, 변성기 및 기타 전자 유도자 제조업재무정보매출액 10억원▲영업이익 7500만원▲(2020년 기준)전체평균연봉4500만원▲                                                            (2020년 기준)전체기업주소경기 안산시 단원구 지원로 107-30, 1층","10억 9,716만원",9명
건양테크(주),안산시,건양테크(주),"설립일                            2011년 09월 08일                                (업력 11년)대표자명최재순업종금속 열처리업재무정보매출액 30억원▲영업이익 3억원▲(2021년 기준)전체평균연봉3500만원▲                                                            (2021년 기준)전체기업주소경기 안산시 단원구 지원로 107-36, 301-6호","32억 5,135만원",38명
미진테크(주),안산시,(주)미진테크,설립일                            2015년 04월 27일                                (업력 7년)대표자명손제민업종육상 금속 골조 구조재 제조업재무정보매출액 12억원▲(2020년 기준)전체평균연봉4000만원▲                                                            (2020년 기준)전체기업주소울산 울주군 두서면 활천내와로 30-15,"14억 1,187만원",3명
서림테크,안산시,(주)서림테크,대표자명이순애업종포장용 플라스틱 성형용기 제조업재무정보매출액 10억원▲영업이익 5000만원▲(2020년 기준)전체평균연봉4500만원▲                                                            (2020년 기준)전체기업주소충북 청주시 청원구 오창읍 신평길 7-8,"11억 5,297만원",4명
