이에프에이시스템,남동구,이에프에이시스템에 대한 검색결과 없음,이에프에이시스템에 대한 검색결과 없음,이에프에이시스템에 대한 검색결과 없음,이에프에이시스템에 대한 검색결과 없음
이지솔루텍,남동구,(주)이지솔루텍,"설립일                            2019년 01월 30일                                (업력 3년)대표자명김미진업종경영 컨설팅업재무정보매출액 7억원▲영업이익 1억원▲(2021년 기준)전체평균연봉4000만원▲                                                            (2021년 기준)전체기업주소서울 송파구 법원로11길 7, C동 810호","7억 4,405만원",8명
인우테크,남동구,(주)인우테크,대표자명정원득업종운송장비 조립용 플라스틱제품 제조업재무정보매출액 220억원▲영업이익 3억원▲(2021년 기준)전체평균연봉3500만원▲                                                            (2021년 기준)전체기업주소경북 칠곡군 왜관읍 공단로 245-17,"239억 1,882만원",62명
임디자인,남동구,(주)오렌지인더스트리,"설립일                            2006년 05월 10일                                (업력 16년)대표자명최문석/이채진업종화훼류 및 식물 도매업재무정보매출액 1000만원▲(2021년 기준)전체기업주소경기 성남시 분당구 성남대로331번길 8, 5층","1,548만원",1명
정도알앤에이,남동구,정도알앤에이에 대한 검색결과 없음,정도알앤에이에 대한 검색결과 없음,정도알앤에이에 대한 검색결과 없음,정도알앤에이에 대한 검색결과 없음
주식회사 유엔지티(UNGT),남동구,주식회사 유엔지티(UNGT)에 대한 검색결과 없음,주식회사 유엔지티(UNGT)에 대한 검색결과 없음,주식회사 유엔지티(UNGT)에 대한 검색결과 없음,주식회사 유엔지티(UNGT)에 대한 검색결과 없음
지오시스템,남동구,(주)지오시스템,설립일                            1987년 06월 19일                                (업력 35년)대표자명강동호업종정밀기기 및 과학기기 도매업재무정보매출액 120억원▲영업이익 6억원▲(2021년 기준)전체평균연봉4500만원▲                                                            (2021년 기준)전체기업주소서울 마포구 토정로14길 27,127억 22만원,29명
진테크,남동구,진테크(주),설립일                            2000년 07월 28일                                (업력 22년)대표자명손덕호업종그 외 자동차용 신품 부품 제조업재무정보매출액 450억원▲영업이익 10억원▲(2021년 기준)전체평균연봉3500만원▲                                                            (2021년 기준)전체기업주소충남 아산시 도고면 덕암산로 376,"473억 8,715만원",181명
케이엔텍,남동구,(주)케이엔텍,대표자명박인철업종유압기기 제조업재무정보매출액 70억원▲영업이익 10억원▲(2020년 기준)전체평균연봉3500만원▲                                                            (2020년 기준)전체기업주소대전 유성구 테크노11로 41-1,"79억 1,991만원",25명
정성시스템,"경기 성남시 중원구 사기막골로 124, 비즈센터동 B121호",정보없음,중소기업,"2억 9,634만원",정보없음
토비,남동구,(유)토비,설립일                            2016년 06월 15일                                (업력 6년)대표자명주봉권업종그 외 기타 분류 안된 상품 전문 소매업재무정보매출액 12억원▲영업이익 7500만원▲(2021년 기준)전체기업주소광주 서구 금화로73번길 6-39,"14억 2,642만원",3명
티에이테크,남동구,(주)티에이테크,설립일                            2014년 07월 07일                                (업력 8년)대표자명소용이업종반도체 제조용 기계 제조업재무정보매출액 25억원▲영업이익 1억원▲(2015년 기준)전체평균연봉7000만원▲                                                            (2015년 기준)전체기업주소경기 화성시 남양읍 현대기아로 202-26,"25억 4,717만원",5명
(주)고우플랜,남동구,(주)고우플랜,"설립일                            2020년 11월 13일                                (업력 2년)대표자명이지영업종부동산 중개 및 대리업기업주소인천 남동구 능허대로 583, 810호,811호,812호,813호",중소기업,업력 3년차
(주)네오네온엘이디라이팅,남동구,(주)네오네온엘이디라이팅,"설립일                            2008년 08월 26일                                (업력 14년)대표자명봉문근업종일반용 전기 조명장치 제조업재무정보매출액 8억원▲영업이익 596.7만원▲(2020년 기준)전체기업주소인천 남동구 능허대로 583, 316호,317호,318호","8억 3,788만원",중소기업
(주)라온지움,남동구,(주)라온지움,"설립일                            2021년 12월 03일                                (업력 1년)대표자명김태욱업종기타 플라스틱제품 제조업기업주소인천 남동구 능허대로 583, 307호",중소기업,업력 2년차
(주)선진하드웨어,남동구,(주)선진하드웨어,"설립일                            2018년 08월 14일                                (업력 4년)대표자명정한모업종생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도..재무정보매출액 12억원▲영업이익 5000만원▲(2020년 기준)전체평균연봉2500만원▲                                                            (2020년 기준)전체기업주소인천 남동구 능허대로 583, 713호","12억 6,934만원",중소기업
(주)승우정밀,남동구,(주)승우정밀,"설립일                            2018년 09월 05일                                (업력 4년)대표자명명영석업종주형 및 금형 제조업재무정보매출액 8억원▲영업이익 5000만원▲(2020년 기준)전체평균연봉4500만원▲                                                            (2020년 기준)전체기업주소인천 남동구 능허대로 583, 701호","8억 2,267만원",중소기업
(주)아산건설,남동구,(유)아산종합건설,"설립일                            1980년 05월 06일                                (업력 42년)대표자명한기수업종기타 토목시설물 건설업재무정보매출액 40억원▲영업이익 963.9만원▲(2021년 기준)전체평균연봉3500만원▲                                                            (2021년 기준)전체기업주소전북 전주시 완산구 홍산로 275, 504호","42억 4,716만원",25명
(주)에이텍코리아,남동구,(주)에이텍코리아,대표자명전민권업종1차 금속제품 도매업재무정보매출액 60억원▲영업이익 1억원▲(2021년 기준)전체평균연봉3000만원▲                                                            (2021년 기준)전체기업주소서울 서초구 남부순환로350길 68,"63억 8,566만원",7명
(주)제논,남동구,(주)제논,"설립일                            2012년 10월 24일                                (업력 10년)대표자명조경준업종산업처리공정 제어장비 제조업재무정보매출액 20억원▲영업이익 2억원▲(2020년 기준)전체평균연봉5000만원▲                                                            (2020년 기준)전체기업주소인천 남동구 능허대로 583, 415호","22억 7,333만원",중소기업
