위즈덤티앤아이,청주시,위즈덤티앤아이에 대한 검색결과 없음,위즈덤티앤아이에 대한 검색결과 없음,위즈덤티앤아이에 대한 검색결과 없음,위즈덤티앤아이에 대한 검색결과 없음
유리우스텍,청주시,유리우스텍에 대한 검색결과 없음,유리우스텍에 대한 검색결과 없음,유리우스텍에 대한 검색결과 없음,유리우스텍에 대한 검색결과 없음
유진하이텍(주)바이오사업본부,청주시,유진하이텍(주)바이오사업본부에 대한 검색결과 없음,유진하이텍(주)바이오사업본부에 대한 검색결과 없음,유진하이텍(주)바이오사업본부에 대한 검색결과 없음,유진하이텍(주)바이오사업본부에 대한 검색결과 없음
정일기술사사무소,청주시,(주)티섹,"대표자명이문곤/오봉환업종건축설계 및 관련 서비스업재무정보매출액 30억원▲영업이익 2억원▲(2021년 기준)전체평균연봉4000만원▲                                                            (2021년 기준)전체기업주소서울 성동구 성수일로4길 25, 409호","32억 4,075만원",32명
퀀텀에이지,청주시,퀀텀에이지에 대한 검색결과 없음,퀀텀에이지에 대한 검색결과 없음,퀀텀에이지에 대한 검색결과 없음,퀀텀에이지에 대한 검색결과 없음
창신글로벌,충북 청주시 흥덕구 직지대로436번길 76 1131호,정보없음,중소기업,정보없음,"5억 2,258만원"
팔고,청주시,(주)팔고사고,설립일                            2012년 07월 31일                                (업력 10년)대표자명박미강업종방송장비 제조업기업주소경기 화성시 우정읍 버들로 685-1,중소기업,업력 11년차
포토고,청주시,에드워드코리아(주),설립일                            1992년 08월 26일                                (업력 30년)대표자명윤제이슨재홍업종그 외 기타 전자부품 제조업재무정보매출액 8000억원▲영업이익 1000억원▲(2021년 기준)전체평균연봉6000만원▲                                                            (2021년 기준)전체기업주소충남 천안시 서북구 3공단1로 96,"8,510억 8,086만원","1,164명"
퓨어워터텍,청주시,퓨어워터텍에 대한 검색결과 없음,퓨어워터텍에 대한 검색결과 없음,퓨어워터텍에 대한 검색결과 없음,퓨어워터텍에 대한 검색결과 없음
플러그미디어웍스,청주시,플러그미디어웍스,설립일                            2013년 11월 21일                                (업력 9년)대표자명문인규업종웹에이젼시기업주소충북 청주시 흥덕구 직지대로436번길 76 직지스마트타워 1412호,10명,업력 10년차
