다온디자인,창원시,(주)다온디자인,설립일                            2016년 03월 22일                                (업력 6년)대표자명안영하업종기타 목재가구 제조업재무정보매출액 30억원▲영업이익 7500만원▲(2021년 기준)전체평균연봉4000만원▲                                                            (2021년 기준)전체기업주소경기 파주시 광탄면 우랑길 64,"31억 4,299만원",5명
다윈이엔씨,창원시,다윈이엔씨,"대표자명신현정/김경덕업종상품 종합 도매업재무정보매출액 12억원▲영업이익 1억원▲(2019년 기준)전체기업주소경남 창원시 의창구 차룡로48번길 44, 11층 1108호","12억 4,436만원",중소기업
대망경영컨설팅,창원시,대망경영컨설팅에 대한 검색결과 없음,대망경영컨설팅에 대한 검색결과 없음,대망경영컨설팅에 대한 검색결과 없음,대망경영컨설팅에 대한 검색결과 없음
대명하이테크,"경남 창원시 의창구 차룡로48번길 44, 7층 708호 ",정보없음,정보없음,"4억 3,942만원",정보없음
대원산전,창원시,대원산전(주),"대표자명한광복업종전기용 기계ㆍ장비 및 관련 기자재 도매업재무정보매출액 6억원▲(2021년 기준)전체기업주소경기 의왕시 성고개로 53, A동 320호","6억 2,898만원",5명
디자인더하기,창원시,디자인더하기,"대표자명김현수업종패션, 섬유류 및 기타 전문 디자인업재무정보매출액 3억원▲영업이익 5000만원▲(2019년 기준)전체기업주소경남 창원시 의창구 차룡로48번길 44, 5층 512호","3억 5,378만원",4명
디자인휴머,창원시,디자인휴머,"대표자명민성기업종제품 디자인업기업주소경남 창원시 의창구 차룡로48번길 44, 11층 F1107호",4명,중소기업
미래제어시스템,창원시,미래제어시스템에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,미래제어시스템에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,미래제어시스템에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,미래제어시스템에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.
반도정공,창원시,반도정공(주),설립일                            1988년 08월 30일                                (업력 34년)대표자명엄대석업종기어 및 동력전달장치 제조업재무정보매출액 20억원▲영업이익 1억원▲(2020년 기준)전체평균연봉5500만원▲                                                            (2020년 기준)전체기업주소경기 안산시 단원구 정왕천동로36번길 42,"20억 9,235만원",17명
방주유압,창원시,방주유압,"대표자명김동한업종그 외 기타 기계 및 장비 도매업재무정보매출액 1억원▲영업이익 443.9만원▲(2011년 기준)전체기업주소경남 창원시 의창구 창원대로 400, 508호","1억 2,934만원",중소기업
비아이씨엔지니어링,창원시,비아이씨엔지니어링에 대한 검색결과 없음,비아이씨엔지니어링에 대한 검색결과 없음,비아이씨엔지니어링에 대한 검색결과 없음,비아이씨엔지니어링에 대한 검색결과 없음
비앤오메디텍(주),창원시,비앤오메디텍(주),설립일                            2014년 08월 08일                                (업력 8년)대표자명김형규업종그 외 기타 의료용 기기 제조업재무정보매출액 20억원▲영업이익 1억원▲(2020년 기준)전체평균연봉3000만원▲                                                            (2020년 기준)전체기업주소경남 창원시 진해구 남영로527번길 11-6,"21억 4,548만원",10명
사단법인 뉴비전전략연구원,창원시,사단법인 뉴비전전략연구원에 대한 검색결과 없음,사단법인 뉴비전전략연구원에 대한 검색결과 없음,사단법인 뉴비전전략연구원에 대한 검색결과 없음,사단법인 뉴비전전략연구원에 대한 검색결과 없음
삼천리스마트,창원시,삼천리스마트에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,삼천리스마트에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,삼천리스마트에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,삼천리스마트에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.
승지이엔지,창원시,(유)승지이엔지,설립일                            2014년 07월 11일                                (업력 8년)대표자명김양순업종기타 물품 취급장비 제조업재무정보매출액 2억원▲영업이익 451만원▲(2019년 기준)전체기업주소전남 영암군 삼호읍 용당로 257-55,"2억 4,043만원",중소기업
시씨큐 주식회사 ,창원시,시씨큐(주),"설립일                            2020년 06월 11일                                (업력 2년)대표자명김조시원석업종커튼 및 유사제품 제조업기업주소경남 창원시 의창구 차룡로48번길 44, 1동 5층 502호",중소기업,업력 3년차
신신하이드로,창원시,신신하이드로,설립일                            2021년 11월 01일                                (업력 1년)대표자명김봉주업종액체 펌프 제조업기업주소경남 창원시 의창구 차룡로48번길 44,중소기업,업력 2년차
아이엔씨 비즈플랜,창원시,아이엔씨비즈플랜,"대표자명손준호업종경영 컨설팅업재무정보매출액 2억원▲영업이익 2500만원▲(2020년 기준)전체기업주소경남 창원시 의창구 차룡로48번길 44, 7층 711호","2억 1,555만원",중소기업
에스앤에스 TECH,창원시,(주)에스앤지테크,"설립일                            2020년 06월 01일                                (업력 2년)대표자명송정한업종고무, 화학섬유 및 플라스틱 성형기 제조업재무정보매출액 12억원▲영업이익 5000만원▲(2020년 기준)전체기업주소경북 칠곡군 왜관읍 2산업단지3길 45","12억 9,145만원",중소기업
에스엠제이건축사사무소,창원시,에스엠제이건축사사무소에 대한 검색결과 없음,에스엠제이건축사사무소에 대한 검색결과 없음,에스엠제이건축사사무소에 대한 검색결과 없음,에스엠제이건축사사무소에 대한 검색결과 없음
에쓰에쓰티,창원시,(주)유민에쓰티,설립일                            2006년 12월 15일                                (업력 16년)대표자명김동환업종반도체 제조용 기계 제조업재무정보매출액 30억원▲영업이익 2500만원▲(2019년 기준)전체평균연봉4000만원▲                                                            (2019년 기준)전체기업주소경기 평택시 진위면 동부대로 217,"31억 1,966만원",25명
엠에스테크,창원시,(주)엠에스테크,설립일                            2007년 05월 10일                                (업력 15년)대표자명허둘숙/김현석업종자동차용 신품 조향장치 및 현가 장치 제조업재무정보매출액 130억원▲영업이익 1억원▲(2020년 기준)전체평균연봉4000만원▲                                                            (2020년 기준)전체기업주소충북 진천군 문백면 문진로 526,"134억 1,894만원",37명
엠엔이솔루션,창원시,(주)엠엔이솔루션,"설립일                            2012년 12월 24일                                (업력 10년)대표자명윤재홍업종기타 반도체소자 제조업재무정보매출액 12억원▲영업이익 2500만원▲(2020년 기준)전체평균연봉7000만원▲                                                            (2020년 기준)전체기업주소충남 천안시 서북구 입장면 섶머리2길 12-18, 2층","13억 2,922만원",3명
우린플랫폼,창원시,우린플랫폼에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,우린플랫폼에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,우린플랫폼에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,우린플랫폼에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.
위너커뮤니케이션즈,창원시,위너커뮤니케이션즈,"대표자명박남태업종전시, 컨벤션 및 행사 대행업재무정보매출액 9억원▲영업이익 1억원▲(2011년 기준)전체기업주소경남 창원시 의창구 두대로 63-1","9억 4,438만원",중소기업
정암ENG,창원시,정암ENG,대표자명백종달업종산업처리공정 제어장비 제조업재무정보매출액 5억원▲영업이익 5000만원▲(2018년 기준)전체기업주소경남 창원시 성산구 성산패총로24번길 1,"5억 7,766만원",중소기업
정웅씨앤디(주),창원시,정웅씨앤디(주),"설립일                            2014년 07월 24일                                (업력 8년)대표자명이양순업종기타 부동산 개발 및 공급업평균연봉3500만원▲                                                            (2018년 기준)전체기업주소경남 창원시 의창구 차룡로48번길 44, 1012호",중소기업,업력 9년차
주식회사 거산이에스,창원시,주식회사 거산이에스에 대한 검색결과 없음,주식회사 거산이에스에 대한 검색결과 없음,주식회사 거산이에스에 대한 검색결과 없음,주식회사 거산이에스에 대한 검색결과 없음
주식회사 더원,창원시,(주)더원스틸,"설립일                            2013년 10월 08일                                (업력 9년)대표자명박정석업종1차 금속제품 도매업재무정보매출액 700억원▲영업이익 8억원▲(2021년 기준)전체평균연봉5000만원▲                                                            (2021년 기준)전체기업주소서울 강남구 개포로22길 15, 3층 301호","721억 4,322만원",8명
주식회사 디앤씨,창원시,산이건설(주),대표자명고형운업종토목시설물 건설업재무정보매출액 500억원▲영업이익 50억원▲(2021년 기준)전체평균연봉4500만원▲                                                            (2021년 기준)전체기업주소전남 해남군 산이면 비석길 92,"526억 4,677만원",112명
주식회사 로봇월드,창원시,주식회사 로봇월드에 대한 검색결과 없음,주식회사 로봇월드에 대한 검색결과 없음,주식회사 로봇월드에 대한 검색결과 없음,주식회사 로봇월드에 대한 검색결과 없음
주식회사 민텍,창원시,주식회사 민텍에 대한 검색결과 없음,주식회사 민텍에 대한 검색결과 없음,주식회사 민텍에 대한 검색결과 없음,주식회사 민텍에 대한 검색결과 없음
