basDt,bizYear,crno,enpBzopPft,enpCptlAmt,enpCrtmNpf,enpSaleAmt,enpTastAmt,enpTcptAmt,enpTdbtAmt,fnclDcd,fnclDcdNm,fnclDebtRto,iclsPalClcAmt
20191231,2019,1201110821886,-2844,100000,36257,270812,228502,1253,227249,120,요약별도재무정보,18136.3926576217,36257
20201231,2020,1201110821886,-31521,100000,264,216789,355732,1518,354214,120,요약별도재무정보,23334.2555994729,264
20171231,2017,1201110883472,143057,50000,118858,494715,516936,168858,348078,120,요약별도재무정보,206.1365170735,137182
20181231,2018,1201110883472,182854,50000,180323,1546490,951111,349180,601931,120,요약별도재무정보,172.3841571682,190052
20191231,2019,1201110883472,144504,50000,148574,1434970,1446153,497754,948399,120,요약별도재무정보,190.5356863028,151734
20201231,2020,1201110883472,157462,50000,170277,1625577,1631653,668032,963621,120,요약별도재무정보,144.2477306476,172212
20201231,2020,1101117605574,7420,1000,7109,140891,42953,8109,34844,120,요약별도재무정보,429.6954001726,7905
20201231,2020,1201111092064,-46362,200000,-46888,9725,430982,153112,277870,120,요약별도재무정보,181.4815298604,-46888
20181231,2018,1201110867046,303456,50000,295492,3519961,891499,674945,216554,120,요약별도재무정보,32.084688382,308491
20171231,2017,1201110595952,67251,50000,61401,968113,622441,517982,104459,120,요약별도재무정보,20.1665308833,67507
20181231,2018,1201110595952,279370,50000,247841,1514501,991504,765823,225681,120,요약별도재무정보,29.4690809756,280471
20161231,2016,1201110852922,-3,10,-3,0,14,7,7,110,요약연결재무제표,100,-3
20171231,2017,1201110852922,-45,30,-46,123,109,-19,128,110,요약연결재무제표,0,-46
20181231,2018,1201110852922,2,100,49,389,646,100,546,110,요약연결재무제표,546,49
20191231,2019,1201110852922,54,200,39,1328,1302,239,1063,110,요약연결재무제표,444.77,39
20201231,2020,1201110852922,224,200,198,1838,2493,437,2056,110,요약연결재무제표,470.48,199
20171231,2017,1201110869399,126,10,113,1028,421,123,298,110,요약연결재무제표,242.28,124
20181231,2018,1201110869399,139,10,121,1907,493,244,249,110,요약연결재무제표,102.05,134
20191231,2019,1201110869399,153,10,135,2221,804,379,425,110,요약연결재무제표,112.14,148
20201231,2020,1201110869399,167449,10000,127870,2089838,1406286,506785,899501,120,요약별도재무정보,177.491638466,141502
20201231,2020,1101117713129,19,30,17,20,51,47,4,110,요약연결재무제표,8.51,19
20171231,2017,2001110504211,18628,10000,18431,585003,352621,28431,324190,120,요약별도재무정보,1140.26942422,18431
20181231,2018,2001110504211,67887,50000,53855,1814151,443120,122285,320835,120,요약별도재무정보,262.3666026086,58106
20191231,2019,2001110504211,69124,50000,68443,2334557,613854,190728,423126,120,요약별도재무정보,221.8478671196,75528
20201231,2020,2001110504211,52857,50000,62272,2259095,893210,253000,640210,120,요약별도재무정보,253.04743083,71777
20161231,2016,2001110437678,31864,250000,175672,2148706,2065728,425792,1639936,120,요약별도재무정보,385.149556591,175672
20171231,2017,2001110437678,220988,250000,197509,3620286,2528068,623301,1904767,120,요약별도재무정보,305.5934452214,197509
20181231,2018,2001110437678,203961,250000,209598,4623154,4090290,832898,3257392,120,요약별도재무정보,391.0913461192,209598
20191231,2019,2001110437678,135246,250000,83359,4782045,4337119,916257,3420862,120,요약별도재무정보,373.3517997679,83359
20201231,2020,2001110437678,164179,250000,84756,5266185,4219086,1001013,3218073,120,요약별도재무정보,321.4816390995,84756
20171231,2017,1101116493813,-98307,50000,-95208,84660,271647,-45208,316855,120,요약별도재무정보,-700.8825871527,-95208
20181231,2018,1101116493813,479398,50000,389242,10228668,2133202,344034,1789168,120,요약별도재무정보,520.0555759023,443970
20191231,2019,1101116493813,762076,200000,542815,14667996,3753520,863749,2889771,120,요약별도재무정보,334.5614293041,666627
20201231,2020,1101116493813,1606240,300000,1255672,21992753,8167861,2104021,6063840,120,요약별도재무정보,288.2024466485,1462256
20171231,2017,1101113244970,-2784698,300000,-3318950,9955754,52975877,51641069,1334808,120,요약별도재무정보,2.5847799548,-3318950
